夜泣き,よなき,名詞,crying (of an infant) at night; baby colic,夜泣き すごいんですよね,N/A,1
不器用,ぶきよう,名詞,clumsy; awkward; incompetent; inept,私は不器用だから,N/A,1
児童館,じどうかん,名詞,children's center; child welfare residential facility,一緒に公園に行ったり 児童館に行ったり,N/A,1
モグラ,もぐら,名詞,"mole (Talpidae spp., esp. the small Japanese mole, Mogera imaizumii)",モグラさん こっちは何かな,N/A,1
カバ,かば,名詞,hippopotamus (Hippopotamus amphibius); hippo,カバさ～ん,N/A,1
カ,か,名詞,mosquito,カ～バ～さん,N/A,1
時空,じくう,名詞,space-time; spacetime,時空 ゆがんでない？,N/A,1
磁場,じば,名詞,magnetic field; ambience; atmosphere,ここだけ磁場 ゆがんでない？,N/A,1
社員,しゃいん,名詞,company employee; member of a corporation; company stockholder (esp. in legal contexts),社員間でのコミュニケーションも より活発になり,N/A,1
思い知る,おもいしっ,動詞,to realize; to realise,でも あの4年間で思い知った,N/A,1
お兄ちゃん,おにいちゃん,名詞,(one's) older brother; lad; sonny,お兄ちゃん いなかったね,N/A,1
トリケラトプス,とりけらとぷす,名詞,triceratops,トリケラトプス登場 ドン！,N/A,1
ドン,どん,副詞,Don (Spanish honorific); bigwig; important person,トリケラトプス登場 ドン！,N/A,1
プテラノドン,ぷてらのどん,名詞,pteranodon,こっちはプテラノドン プー！,N/A,1
プー,ぷー,名詞,toot (e.g. of trumpet); honk (e.g. of klaxon); beep,こっちはプテラノドン プー！,N/A,1
ブーン,ぶーん,副詞,whirr; hum; whoosh; woosh,ドッ ドッ ブーン,N/A,1
お願い,おねがい,名詞,request; favour (to ask); please,お願い 苺 見てて,N/A,1
取り,とり,名詞,taking; taker; last performer of the day (usu. the star performer); last performance of the day,保険証 取りに戻ったら閉め出されちゃって,N/A,1
ブーッ,ぶーっ,副詞,beep; honk (car horn),ブーッ ブー ブー ああ もう 早く食べて,N/A,1
ブー,ぶー,名詞,beep; honk (car horn),ブーッ ブー ブー ああ もう 早く食べて,N/A,1
着替える,きがえる,動詞,to change (one's clothes),篤正 着替えるよ,N/A,1
兄妹,きょうだい,名詞,older brother and younger sister,うちは兄妹で同じ保育園には入れなかった,N/A,1
入構,にゅうこう,名詞,"entering (a facility, etc.)",あれ？ 入構証 忘れたんすか？,N/A,1
ミスる,みすっ,動詞,to make a mistake; to mess up,はあ～ ミスった ゲームオーバー,N/A,1
始業,しぎょう,名詞,start of work; commencement,後でいいっすか 始業まで まだ4分あるんで,N/A,1
絞り,しぼり,名詞,shibori; tie-dye; aperture; aperture stop,来週は採用する提案を絞り…,N/A,1
早退,そうたい,名詞,leaving early,ごめん 早退します,N/A,1
チャーハン,ちゃーはん,名詞,Chinese-style fried rice,チャーハン チャーハン チャーハン→,N/A,1
言える,いえる,動詞,to be possible to say; to be able to say; said; have said,僕 言えるよ シジミ,N/A,1
解凍,かいとう,名詞,thawing; defrosting; decompression (of data); extraction,足りなければ ストックしてある分から 何か おかず解凍すればいいので,N/A,1
お節介,おせっかい,名詞,meddling; meddlesomeness; meddler; buttinsky,なら お節介 焼く余裕だってある,N/A,1
頑張る,がんばっ,動詞,to persevere; to persist; to insist that; to stick to (one's opinion),私の方が頑張ってる,N/A,1
恐竜,きょうりゅう,名詞,dinosaur,恐竜がトラックを動かしています 篤正 しまって,N/A,1
ガオー,がおー,名詞,roar; sound made by monsters,ガーッ ガオー,N/A,1
熱る,あつっ,動詞,to feel hot; to flush,熱っ！,N/A,1
売り上げ,うりあげ,名詞,amount sold; sales,先月 売り上げ達成できてないよね,N/A,1
温める,あたため,動詞,"to warm (up); to heat (up); to sit on (an idea, plan, etc.); to keep to oneself",カレー 温めてあるよ,N/A,1
エリア,えりあ,名詞,area,あっ ごめん 今日 エリアマネージャーが店に来てさ,N/A,1
マネージャー,まねーじゃー,名詞,manager; person in a (school or university) sports team in charge of administrative and miscellaneous duties,あっ ごめん 今日 エリアマネージャーが店に来てさ,N/A,1
ミーティング,みーてぃんぐ,名詞,meeting,ミーティングついでに 軽く食ってきちゃった,N/A,1
夜景,やけい,名詞,night view; night skyline,ここから見る夜景,N/A,1
気晴らし,きばらし,名詞,recreation; diversion,大丈夫ですよ 私 よく 気晴らしに のぼってるんで,N/A,1
特等席,とくとうせき,名詞,special seat; box seat,特等席なんですよ,N/A,1
ウソ,うそ,名詞,lie; fib; mistake; error,ウソ 思ってるに決まってる,N/A,1
バカ,ばか,名詞,idiot; moron; stupid; foolish,みんなでバカにした,N/A,1
レトルト,れとると,名詞,retort (vessel used for distillation); retort (airtight vessel used to heat and sterilize canned or retort-pouch food),ご飯だって レトルトばっかの日もあるし,N/A,1
手抜き,てぬき,名詞,omitting crucial steps; cutting corners; intentional negligence,手抜きばっかり,N/A,1
寝かしつける,ねかしつけ,動詞,to lull (a child) to sleep; to put to sleep,子供を寝かしつけてから洗濯して,N/A,1
持ち帰る,もちかえっ,動詞,to take home; to carry home,会社から持ち帰った仕事して,N/A,1
繰り返し,くりかえし,名詞,repetition; repeat; repeatedly,毎日 その繰り返し,N/A,1
思える,おもえる,動詞,to seem; to appear likely,独りじゃないんだって 思えるから,N/A,1
梅雨時,つゆどき,名詞,wet season; rainy season,梅雨時でも 日の光が差さない場所でも,N/A,1
取り残す,とりのこさ,動詞,to leave behind,自分だけが 世界から取り残されたような気がして,N/A,1
話せる,はなせる,動詞,to be able to speak; to be able to talk; to be understanding; to be sensible,こうやって話せる人もいないし,N/A,1
向こう岸,むこうきし,名詞,opposite bank; farther shore,川の向こう岸の 火事なら,N/A,1
